"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"seq.103","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",NA,NA
"seq.104","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.105","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.106","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA
"seq.107","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.108","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group",NA,NA
"seq.109","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9",NA
"seq.110","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"seq.111","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"seq.112","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","radiodurans"
"seq.113","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA,NA
"seq.114","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",NA
"seq.115","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"seq.116","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.117","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.118","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_9",NA
"seq.119","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.120","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","gingivalis"
"seq.121","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mobilitalea",NA
"seq.122","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_FCS020_group",NA
"seq.123","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.124","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.125","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.126","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.127","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-006",NA
"seq.128","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.129","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA
"seq.130","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.131","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus_1",NA
"seq.132","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.133","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.134","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","bacterium"
"seq.135","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",NA
"seq.136","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-001",NA
"seq.137","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-001",NA
"seq.138","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9",NA,NA,NA
"seq.139","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor","muris"
"seq.140","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enterorhabdus",NA
"seq.141","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.142","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group",NA,NA
"seq.143","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.144","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"seq.145","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_UCG-001",NA
"seq.146","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA
"seq.148","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.149","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.150","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA,NA
"seq.151","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"seq.152","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor",NA
"seq.153","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA
"seq.154","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
